site,name,Lat,Long,ele,time,magvar,geoidheigh,cmt,desc_,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsd,dgpsid,layer,path
Aven,PS2,36.09242,-120.196,112,7/21/2020,0,0, , , , , , , , , ,"Flag, Green", , ,0,0,0,0,0,0,Waypoints_21-JUL-20 waypoints,D:\Research\Projects\prey_item_survey\GPX Waypoints\Waypoints_21-JUL-20.gpx|layername=waypoints
Aven,PS3,36.09347,-120.197,128,7/21/2020,0,0, , , , , , , , , ,"Flag, Green", , ,0,0,0,0,0,0,Waypoints_21-JUL-20 waypoints,D:\Research\Projects\prey_item_survey\GPX Waypoints\Waypoints_21-JUL-20.gpx|layername=waypoints
Aven,PS4,36.09344,-120.197,145,7/21/2020,0,0, , , , , , , , , ,"Flag, Green", , ,0,0,0,0,0,0,Waypoints_21-JUL-20 waypoints,D:\Research\Projects\prey_item_survey\GPX Waypoints\Waypoints_21-JUL-20.gpx|layername=waypoints
Aven,PS1,36.09353,-120.197,158,7/21/2020,0,0, , , , , , , , , ,"Flag, Green", , ,0,0,0,0,0,0,Waypoints_21-JUL-20 waypoints,D:\Research\Projects\prey_item_survey\GPX Waypoints\Waypoints_21-JUL-20.gpx|layername=waypoints
Aven,PS5,36.09344,-120.197,172,7/21/2020,0,0, , , , , , , , , ,"Flag, Green", , ,0,0,0,0,0,0,Waypoints_21-JUL-20 waypoints,D:\Research\Projects\prey_item_survey\GPX Waypoints\Waypoints_21-JUL-20.gpx|layername=waypoints
Aven,PS6,36.09345,-120.197,184,7/21/2020,0,0, , , , , , , , , ,"Flag, Green", , ,0,0,0,0,0,0,Waypoints_21-JUL-20 waypoints,D:\Research\Projects\prey_item_survey\GPX Waypoints\Waypoints_21-JUL-20.gpx|layername=waypoints
Aven,PS7,36.09343,-120.197,187,7/21/2020,0,0, , , , , , , , , ,"Flag, Green", , ,0,0,0,0,0,0,Waypoints_21-JUL-20 waypoints,D:\Research\Projects\prey_item_survey\GPX Waypoints\Waypoints_21-JUL-20.gpx|layername=waypoints
Aven,PS8,36.09343,-120.198,192,7/21/2020,0,0, , , , , , , , , ,"Flag, Green", , ,0,0,0,0,0,0,Waypoints_21-JUL-20 waypoints,D:\Research\Projects\prey_item_survey\GPX Waypoints\Waypoints_21-JUL-20.gpx|layername=waypoints
Aven,PS9,36.09341,-120.198,195,7/21/2020,0,0, , , , , , , , , ,"Flag, Green", , ,0,0,0,0,0,0,Waypoints_21-JUL-20 waypoints,D:\Research\Projects\prey_item_survey\GPX Waypoints\Waypoints_21-JUL-20.gpx|layername=waypoints
Aven,PS10,36.09345,-120.198,197,7/21/2020,0,0, , , , , , , , , ,"Flag, Green", , ,0,0,0,0,0,0,Waypoints_21-JUL-20 waypoints,D:\Research\Projects\prey_item_survey\GPX Waypoints\Waypoints_21-JUL-20.gpx|layername=waypoints
